Date,Start Time,End Time,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
March 8th,2022-03-08 15:00:00,2022-03-08 15:59:59,0.0,20.0,0.0,668.0,2.0,2200.0
March 8th,2022-03-08 16:00:00,2022-03-08 16:59:59,0.0,10.0,0.0,370.0,0.0,790.0
March 8th,2022-03-08 17:00:00,2022-03-08 17:59:59,0.0,10.0,0.0,300.0,12.0,10.0
March 8th,2022-03-08 18:00:00,2022-03-08 18:59:59,10.0,10.0,0.0,0.0,3.0,0.0
March 8th,2022-03-08 19:00:00,2022-03-08 19:59:59,7.0,14.0,1.0,540.0,0.0,450.0
March 8th,2022-03-08 20:00:00,2022-03-08 20:59:59,85.0,7.0,0.0,0.0,36.0,790.0
March 8th,2022-03-08 21:00:00,2022-03-08 21:59:59,16.0,366.0,0.0,40.0,2.0,0.0
March 8th,2022-03-08 22:00:00,2022-03-08 22:59:59,68.0,0.0,0.0,0.0,0.0,30.0
March 8th,2022-03-08 23:00:00,2022-03-08 23:59:59,4.0,15.0,0.0,0.0,0.0,45.0
March 9th,2022-03-09 0:00:00,2022-03-09 0:59:59,0.0,122.0,0.0,10.0,0.0,
March 9th,2022-03-09 1:00:00,2022-03-09 1:59:59,9.0,288.0,0.0,70.0,0.0,1320.0
March 9th,2022-03-09 2:00:00,2022-03-09 2:59:59,1.0,288.0,0.0,10.0,0.0,0.0
March 9th,2022-03-09 3:00:00,2022-03-09 3:59:59,34.0,108.0,0.0,0.0,0.0,237.0
March 9th,2022-03-09 4:00:00,2022-03-09 4:59:59,3.0,30.0,0.0,0.0,0.0,237.0
March 9th,2022-03-09 5:00:00,2022-03-09 5:59:59,17.0,0.0,0.0,150.0,0.0,30.0
March 9th,2022-03-09 6:00:00,2022-03-09 6:59:59,10.0,8.0,0.0,450.0,0.0,0.0
March 9th,2022-03-09 7:00:00,2022-03-09 7:59:59,0.0,10.0,0.0,120.0,0.0,8.0
March 9th,2022-03-09 8:00:00,2022-03-09 8:59:59,34.0,7.0,0.0,0.0,0.0,0.0
March 9th,2022-03-09 9:00:00,2022-03-09 9:59:59,1.0,30.0,0.0,80.0,0.0,16.0
March 9th,2022-03-09 10:00:00,2022-03-09 10:59:59,8.0,360.0,0.0,315.0,0.0,560.0
March 9th,2022-03-09 11:00:00,2022-03-09 11:59:59,0.0,15.0,0.0,80.0,0.0,560.0
March 9th,2022-03-09 12:00:00,2022-03-09 12:59:59,78.0,0.0,0.0,60.0,0.0,448.0
March 9th,2022-03-09 13:00:00,2022-03-09 13:59:59,0.0,0.0,0.0,0.0,0.0,790.0
March 9th,2022-03-09 14:00:00,2022-03-09 14:59:59,102.0,10.0,0.0,30.0,0.0,
March 9th,2022-03-09 15:00:00,2022-03-09 15:59:59,0.0,12.0,0.0,48.0,0.0,2200.0
March 9th,2022-03-09 16:00:00,2022-03-09 16:59:59,0.0,970.0,0.0,240.0,0.0,280.0
March 9th,2022-03-09 17:00:00,2022-03-09 17:59:59,0.0,360.0,0.0,0.0,0.0,49.0
March 9th,2022-03-09 18:00:00,2022-03-09 18:59:59,13.0,7.0,0.0,0.0,0.0,0.0
March 9th,2022-03-09 19:00:00,2022-03-09 19:59:59,0.0,10.0,0.0,10.0,0.0,2200.0
March 9th,2022-03-09 20:00:00,2022-03-09 20:59:59,2.0,30.0,0.0,590.0,0.0,0.0
March 9th,2022-03-09 21:00:00,2022-03-09 21:59:59,2.0,4.0,0.0,30.0,0.0,15.0
March 9th,2022-03-09 22:00:00,2022-03-09 22:59:59,0.0,0.0,0.0,590.0,0.0,1980.0
March 9th,2022-03-09 23:00:00,2022-03-09 23:59:59,3.0,5.0,0.0,0.0,0.0,0.0
March 10th,2022-03-10 0:00:00,2022-03-10 0:59:59,42.0,2.0,0.0,0.0,0.0,660.0
March 10th,2022-03-10 1:00:00,2022-03-10 1:59:59,91.0,108.0,0.0,0.0,0.0,56.0
